timestamp,model,route,latency_ms,question,answer
2026-01-04 22:18:11,qwen2.5:7b,rag_docs,12036,What is the annual leave entitlement per year?,"Error: POST predict: Post ""http://127.0.0.1:57298/completion"": read tcp 127.0.0.1:57303->127.0.0.1:57298: wsarecv: An existing connection was forcibly closed by the remote host. (status code: -1)"
2026-01-04 22:18:27,N/A,sales_kpi,6,sales bulan 2024-06 berapa?,"✅ **Source: structured KPI**
✅ **Total Sales (RM)**
- Month: **2024-06**
- Value: **RM 99,852.83**
- Rows used: 4,981
- Note: 'bulan ni' = latest month in dataset (**2024-06**) untuk demo offline."
2026-01-04 22:18:56,qwen2.5:7b,rag_docs,24484,What is the annual leave entitlement per year?,"📄 **Source: RAG + LLM**

- Permanent Employees: 14 days per calendar year (prorated based on join date).
- Contract Employees: prorated annual leave per contract terms (minimum as per company offer).
- Part-Time employees are not eligible unless stated in employment terms."
2026-01-13 22:12:24,N/A,sales_kpi,5,sales bulan 2024-06 berapa?,"## ✅ Total Sales (RM)

**Month:** 2024-06

### Executive Summary
**Value:** RM 99,852.83

### Evidence Used
- Data Source: Structured Sales KPI
- Rows Analyzed: 4,981
- Dataset Coverage: 2024-01 → 2024-06

### Assumptions
- 'bulan ni' interpreted as latest month in dataset (2024-06)

### Next Actions
- Compare with previous periods
- Drill down by dimension (state/product/channel)
- Validate against targets",eb2bf2ab,fc737bf4,sales_kpi|N/A|rows=4981|sources=0|5ms
2026-01-13 22:12:56,N/A,hr_kpi,0,headcount ikut state,"## 👥 Headcount Analysis

### Executive Summary
**Total Employees:** 820

### Evidence Used
- Data Source: Structured HR
- Complete employee database

### Next Actions
- Break down by department/state
- Trend analysis over time
- Workforce planning review",eb2bf2ab,8356afd1,hr_kpi|N/A|rows=820|sources=0|0ms
2026-01-13 22:13:10,N/A,hr_kpi,2,which age group has highest attrition?,"## 📉 Attrition Analysis by Age Group

### Executive Summary
**Highest Attrition:** 26-35 (43 employees left)

### Evidence Used
- Data Source: Structured HR
- Attrition Records: 128
- Total Employees: 820

### Next Actions
- Investigate reasons for age group-specific attrition
- Develop retention programs
- Review compensation and benefits",eb2bf2ab,585843ea,hr_kpi|N/A|rows=128|sources=0|2ms
2026-01-13 22:14:22,qwen2.5:7b,rag_docs,36624,What is the annual leave entitlement per year?,"## 📄 Document Analysis

### Executive Answer
Permanent employees are entitled to 14 days of annual leave per calendar year, prorated based on their join date. Contract employees receive prorated annual leave as per their contract terms, with a minimum entitlement as specified by the company offer. Part-time employees are not eligible for annual leave unless stated in their employment terms.

### Evidence Used
- [DOC:HR_Policy_MY.txt] 6.1 Annual Leave (AL)

### Assumptions/Limits
The policy does not specify how prorated leave is calculated, which could vary based on the employee's join date within the year.

### Next Actions
- Review and update the annual leave policy documentation to ensure clarity on proration methods.
- Communicate the annual leave entitlements clearly to all employees.",ffda76a4,8a9cf012,rag_docs|qwen2.5:7b|rows=0|sources=1|36624ms
2026-01-13 22:30:02,N/A,sales_kpi,17,top 3 product bulan 2024-06,"## 🏆 Top 3 Product by Total Sales (RM)

**Month:** 2024-06

### Executive Summary
Top performers identified across Product dimension.

### Evidence Used
| Product        | Total Sales (RM)   |
|:---------------|:-------------------|
| Cheese Burger  | RM 20,250.99       |
| Beef Burger    | RM 19,705.96       |
| Chicken Burger | RM 18,916.92       |
- Data Source: Structured Sales KPI
- Rows Analyzed: 4,981

### Next Actions
- Analyze success factors of top Product
- Benchmark against lower performers
- Scale winning strategies",c2399a2f,f75a1c3e,sales_kpi|N/A|rows=4981|sources=0|17ms
2026-01-13 22:30:58,qwen2.5:7b,rag_docs,38130,What is the annual leave entitlement per year?,"## 📄 Document Analysis

### Executive Answer
Permanent employees are entitled to 14 days of annual leave per calendar year, prorated based on their join date. Contract employees receive prorated annual leave as per their contract terms, with a minimum entitlement as specified by the company offer. Part-time employees are not eligible for annual leave unless stated in their employment terms.

### Evidence Used
- [DOC:HR_Policy_MY.txt] 6.1 Annual Leave (AL)

### Assumptions/Limits
The policy does not specify how prorated leave is calculated, which could vary based on the employee's join date within the year.

### Next Actions
- Review and update the HR manual to ensure clarity on proration methods for annual leave.
- Communicate the leave entitlements clearly to all employees through internal communications.",c2399a2f,98108190,rag_docs|qwen2.5:7b|rows=0|sources=1|38130ms
